
  HYDROGEN
      1.0080           1
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
     10.2000      0.4200     -0.2500     12.1000      0.1300     -0.2500
      4.0000      0.0000      0.6000      0.0000      0.5600      0.0000
     13.6000     13.6000      1.0000      0.0000      1.0000      0.0000

  HELIUM
      4.0030           2
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
     21.2000      0.6000     -0.8000     23.1000      0.1500     -0.2500
      4.0000      0.0000      0.7500      0.0000      0.4600      0.0000
     24.6000     24.6000      2.0000      0.0000      1.0000      1.0000
&    IK = 2:
     40.8000      0.4200     -0.4200     48.4000      0.1500     -0.3500
      4.4000      0.0000      0.3800      0.0000      0.6000      0.0000
     54.4000     54.4000      1.0000      0.0000      1.0000      0.0000

  BERYLLIUM
      9.0130           4
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
      5.3000      1.3600      1.0000      7.5000      0.6000     -0.2500
      4.0000      4.4000      0.7000      0.6000      0.5000      0.6000
      9.3200    115.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 2:
      4.0000      0.5100      1.0000     12.0000      0.8300     -0.2000
      4.4000      4.5000      0.0000      0.4000      0.0000      0.6000
     18.2000    125.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 3:
    124.0000      0.6000     -0.4000    140.0000      0.1500     -0.2500
      4.5000      0.0000      0.3000      0.0000      0.6000      0.0000
    154.0000    154.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 4:
    163.0000      0.4200     -0.4200    193.0000      0.1500     -0.3500
      4.5000      0.0000      0.0000      0.0000      0.0000      0.0000
    218.0000    218.0000      1.0000      0.0000      1.0000      0.0000

  BORON
     10.8200           5
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
      7.8000      1.1000      0.8000      5.0000      0.1100     -0.2500
      3.8000      4.0000      0.7000      0.7000      0.4000      0.5000
      8.3000     12.9000      1.0000      2.0000      2.0000      2.0000
&    IK = 2:
      9.1000      1.1000      0.8000     17.9000      0.3000     -0.2500
      4.4000      4.5000      0.4000      0.4000      0.6000      0.6000
     25.2000    206.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 3:
      6.0000      0.3700      1.0000     23.9000      0.1500     -0.1000
      4.5000      4.5000      0.0000      0.2000      0.0000      0.6000
     37.9000    220.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 4:
    205.6000      0.6100     -0.8000    235.3000      0.1300     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    259.0000    259.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 5:
    255.2000      0.4200     -0.4200    302.4000      0.1500     -0.3500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    340.0000    340.0000      1.0000      0.0000      1.0000      0.0000

  CARBON
     12.0110           6
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
     13.1000      0.2700      1.0000      8.5000      0.3900     -0.2500
      3.5000      4.0000      0.7000      0.7000      0.4000      0.5000
     11.3000     16.6000      2.0000      2.0000      2.0000      3.0000
&    IK = 2:
      9.3000      0.2700      0.8000     13.7000      0.5800      0.7500
      4.2000      4.4000      0.4000      0.4000      0.6000      0.6000
     24.4000     30.9000      1.0000      2.0000      2.0000      2.0000
&    IK = 3:
     13.0000      0.8100      0.8000     32.0000      0.2700     -0.2500
      4.5000      4.5000      0.2000      0.2000      0.6000      0.6000
     47.9000    325.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 4:
      8.0000      0.2900      1.0000     40.0000      0.2400     -0.1000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     64.5000    343.0000      1.0000      2.0000      2.0000      0.0000
